,index,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
0,181,AE015,3024.0,VIA-RAIL,,45.416745,-75.652214,,,0
1,263,AF910,3023.0,HURDMAN A,,45.412187,-75.665044,,,0
2,264,AF920,3023.0,HURDMAN B,,45.412144,-75.66555699999999,,,0
3,265,AF930,3023.0,HURDMAN C,,45.412109,-75.66632,,,0
4,266,AF940,3023.0,HURDMAN D,,45.412082,-75.666889,,,0
5,267,AF965,3030.0,LYCÉE CLAUDEL 1A,,45.40663,-75.66447,,,0
6,268,AF970,3030.0,LYCÉE CLAUDEL 2A,,45.406614000000005,-75.664225,,,0
7,269,AF975,3031.0,SMYTH 1A,,45.40118,-75.666742,,,0
8,270,AF980,3031.0,SMYTH 2A,,45.401167,-75.666591,,,0
9,311,AG900,3032.0,RIVERSIDE 2A,,45.396770000000004,-75.669226,,,0
10,312,AG910,3032.0,RIVERSIDE 1A,,45.396702000000005,-75.66949100000001,,,0
11,313,AG920,3033.0,PLEASANT PARK 2A,,45.392725,-75.66923299999999,,,0
12,314,AG930,3033.0,PLEASANT PARK 1A,,45.392908,-75.66945600000001,,,0
13,315,AG940,3033.0,PLEASANT PARK 4A,,45.392787,-75.669117,,,0
14,316,AG950,3033.0,PLEASANT PARK 3A,,45.392755,-75.66961500000001,,,0
15,535,CA920,3003.0,ALBERT / KENT,,45.418820000000004,-75.703209,,,0
16,536,CA930,3004.0,ALBERT / BAY,,45.41711,-75.70707900000001,,,0
17,537,CA940,3005.0,SLATER / BAY,,45.416234,-75.706986,,,0
18,538,CA950,3006.0,SLATER / KENT,,45.417909,-75.702826,,,0
19,539,CA970,3051.0,QUEEN / LYON,,45.418735999999996,-75.705047,,,0
20,540,CA980,3051.0,LYON / QUEEN,,45.418655,-75.70495,,,0
21,553,CB900,3001.0,ALBERT / METCALFE,,45.421821,-75.69619,,,0
22,554,CB910,3002.0,ALBERT / BANK,,45.420432,-75.699506,,,0
23,555,CB930,3052.0,QUEEN / O'CONNOR,,45.421372,-75.698937,,,0
24,556,CB940,3052.0,QUEEN / O'CONNOR,,45.421361,-75.698927,,,0
25,557,CB950,3052.0,O'CONNOR / QUEEN,,45.421492,-75.698938,,,0
26,558,CB960,3007.0,SLATER / BANK,,45.419754,-75.698727,,,0
27,559,CB970,3008.0,SLATER / METCALFE,,45.421159,-75.69534300000001,,,0
28,616,CD920,3009.0,RIDEAU 3A (RIDEAU ST.),,45.426528000000005,-75.690857,,,0
29,617,CD935,3009.0,RIDEAU 4A (RIDEAU ST.),,45.42606,-75.692295,,,0
30,618,CD955,3020.0,LAURIER 1A,,45.424504,-75.68718,,,0
31,619,CD960,3020.0,LAURIER 2A,,45.424717,-75.687012,,,0
32,664,CE960,3022.0,LEES 3A,,45.415991,-75.67042,,,0
33,665,CE965,3022.0,LEES 3B,,45.415261,-75.672067,,,0
34,666,CE971,3022.0,LEES 4A,,45.414871000000005,-75.672655,,,0
35,667,CE975,3022.0,LEES 4C,,45.41638,-75.669221,,,0
36,668,CE980,3022.0,LEES 4D,,45.416301000000004,-75.66938,,,0
37,669,CE985,3022.0,LEES 4B,,45.415943,-75.670137,,,0
38,722,CF580,3080.0,LANSDOWNE TD PLACE,,45.398178,-75.685738,,,0
39,723,CF590,3080.0,LANSDOWNE TD PLACE,,45.398123999999996,-75.685505,,,0
40,724,CF600,3080.0,LANSDOWNE TD PLACE,,45.398965000000004,-75.686152,,,0
41,725,CF610,3080.0,LANSDOWNE TD PLACE,,45.3992,-75.686113,,,0
42,779,CG990,3062.0,CARLETON N.,,45.385505,-75.69585500000001,,,0
43,780,CG995,3062.0,CARLETON S.,,45.385552000000004,-75.696035,,,0
44,890,CJ903,3010.0,LEBRETON 1A,,45.412611,-75.713388,,,0
45,891,CJ933,3010.0,LEBRETON 2A,,45.413076000000004,-75.712017,,,0
46,892,CJ943,3010.0,LEBRETON 3A,,45.413238,-75.712778,,,0
47,893,CJ970,3010.0,LeBreton,,45.412879,-75.712724,,,0
48,894,CJ980,3010.0,LeBreton,,45.412890999999995,-75.712519,,,0
49,1015,EB940,3025.0,ST-LAURENT 3A,,45.42062,-75.636636,,,0
50,1016,EB946,3025.0,ST-LAURENT 3B,,45.420583,-75.63691,,,0
51,1017,EB951,3025.0,ST-LAURENT 3C,,45.420567,-75.637383,,,0
52,1018,EB960,3025.0,ST-LAURENT 3D,,45.420524,-75.637641,,,0
53,1019,EB965,3025.0,ST-LAURENT 4A,,45.420776000000004,-75.638143,,,0
54,1020,EB971,3025.0,ST-LAURENT 4B,,45.4208,-75.638061,,,0
55,1021,EB976,3025.0,ST-LAURENT 4C,,45.420739000000005,-75.63696,,,0
56,1022,EB980,3025.0,ST-LAURENT 4D,,45.420756,-75.636703,,,0
57,1188,EE901,3027.0,BLAIR 1A,,45.432524,-75.60804399999999,,,0
58,1189,EE916,3027.0,BLAIR 2A,,45.432612,-75.607156,,,0
59,1190,EE917,3027.0,BLAIR 2B,,45.432691999999996,-75.608038,,,0
60,1688,EK900,3070.0,JEANNE D'ARC 1A,,45.467752000000004,-75.54565500000001,,,0
61,1689,EK905,3070.0,JEANNE D'ARC 1B,,45.467966,-75.545357,,,0
62,1690,EK910,3070.0,JEANNE D'ARC 2A,,45.469716,-75.546952,,,0
63,1691,EK930,3070.0,JEANNE D'ARC 3A,,45.470124,-75.546882,,,0
64,1692,EK940,3070.0,JEANNE D'ARC 3B,,45.46781,-75.54504,,,0
65,1693,EK960,3070.0,JEANNE D'ARC 4A,,45.468061999999996,-75.545023,,,0
66,1694,EK970,3070.0,JEANNE D'ARC 4B,,45.470553,-75.546989,,,0
67,2075,EO900,3029.0,TRIM 2A,,45.493324,-75.480551,,,0
68,2076,EO920,3029.0,TRIM 1A,,45.493217,-75.480233,,,0
69,2077,EP900,3028.0,ORLÉANS 1A,,45.478454,-75.519453,,,0
70,2078,EP910,3028.0,ORLÉANS 1B,,45.478586,-75.519053,,,0
71,2079,EP920,3028.0,ORLÉANS 1C,,45.478795,-75.518555,,,0
72,2080,EP930,3028.0,ORLÉANS 2A,,45.478578000000006,-75.51851500000001,,,0
73,2081,EP940,3028.0,ORLÉANS 2B,,45.478418,-75.51904,,,0
74,2082,EP950,3028.0,ORLÉANS 2C,,45.478294,-75.51935,,,0
75,2083,EP960,3075.0,PLACE D'ORLÉANS - PARK & RIDE 4A,,45.480129,-75.519875,,,0
76,2168,EQ900,3076.0,MILLENNIUM 1A,,45.465332000000004,-75.448353,,,0
77,2169,EQ910,3076.0,MILLENNIUM 2A,,45.465303000000006,-75.448111,,,0
78,2399,NA911,3011.0,TUNNEY'S PASTURE A,,45.403295,-75.73671800000001,,,0
79,2400,NA921,3011.0,TUNNEY'S PASTURE B,,45.403394,-75.736434,,,0
80,2401,NA931,3011.0,TUNNEY'S PASTURE C,,45.403498,-75.73618,,,0
81,2402,NA941,3011.0,TUNNEY'S PASTURE D,,45.40395,-75.736403,,,0
82,2403,NA990,3060.0,Bayview O-Train West/Ouest,,45.409403000000005,-75.722032,,,0
83,2404,NA993,3060.0,BAYVIEW 1A,,45.409659999999995,-75.720947,,,0
84,2405,NA994,3060.0,BAYVIEW 2A,,45.408186,-75.72364499999999,,,0
85,2406,NA996,3060.0,BAYVIEW - O-Train South/sud,,45.40925,-75.72205699999999,,,0
86,2456,NB990,3061.0,CARLING,,45.397573,-75.709806,,,0
87,2457,NB990S,3061.0,CARLING,,45.397513000000004,-75.70990400000001,,,0
88,2496,NC900,3012.0,WESTBORO 1A,,45.396631,-75.752086,,,0
89,2497,NC910,3012.0,WESTBORO 1B,,45.396458,-75.752503,,,0
90,2498,NC930,3012.0,WESTBORO 2A,,45.396639,-75.752023,,,0
91,2499,NC931,3012.0,WESTBORO OFF STOP,,45.396603999999996,-75.75211,,,0
92,2500,NC950,3012.0,WESTBORO 3A,,45.396347999999996,-75.752098,,,0
93,2501,NC960,3012.0,WESTBORO 4A,,45.396789,-75.752144,,,0
94,2759,NH900,3013.0,DOMINION 1A,,45.392309999999995,-75.76076,,,0
95,2760,NH920,3013.0,DOMINION 2A,,45.392182,-75.760391,,,0
96,2761,NH921,3013.0,DOMINION STN OFF STOP,,45.392173,-75.76045500000001,,,0
97,2793,NI905,3014.0,LINCOLN FIELDS 1A,,45.366296000000006,-75.783439,,,0
98,2794,NI910,3014.0,LINCOLN FIELDS 1B,,45.366178999999995,-75.783466,,,0
99,2795,NI915,3014.0,LINCOLN FIELDS 2A,,45.366366,-75.78315699999999,,,0
100,2796,NI921,3014.0,LINCOLN FIELDS OFF STOP,,45.366222,-75.78321,,,0
101,2797,NI925,3014.0,LINCOLN FIELDS 3A,,45.365992,-75.782319,,,0
102,2798,NI930,3014.0,LINCOLN FIELDS 4B,,45.36574,-75.782399,,,0
103,2799,NI935,3014.0,LINCOLN FIELDS 3B,,45.36616,-75.781883,,,0
104,2800,NI940,3014.0,LINCOLN FIELDS 4A,,45.365936,-75.781975,,,0
105,2801,NI950,3014.0,LINCOLN FIELDS 5A,,45.365289000000004,-75.782188,,,0
106,2905,RA900,3034.0,BILLINGS BRIDGE 1A,,45.3846,-75.67675799999999,,,0
107,2906,RA905,3034.0,BILLINGS BRIDGE 2A,,45.384258,-75.676827,,,0
108,2907,RA910,3034.0,BILLINGS BRIDGE / BANK,,45.386747,-75.675092,,,0
109,2908,RA915,3034.0,BILLINGS BRIDGE 3A,,45.384788,-75.676979,,,0
110,2909,RA920,3034.0,BILLINGS BRIDGE 3B,,45.384693,-75.677204,,,0
111,2910,RA925,3034.0,BILLINGS BRIDGE 3C,,45.384444,-75.677578,,,0
112,2911,RA940,3034.0,BILLINGS BRIDGE 4B,,45.384423999999996,-75.677297,,,0
113,2912,RA945,3034.0,BILLINGS BRIDGE 4C,,45.384592,-75.677001,,,0
114,2913,RA950,3034.0,BILLINGS BRIDGE 4D,,45.384806,-75.67667900000001,,,0
115,2914,RA955,3035.0,HERON 1A,,45.378943,-75.67975200000001,,,0
116,2915,RA960,3035.0,HERON 2A,,45.378859999999996,-75.679497,,,0
117,2916,RA965,3035.0,HERON 3A,,45.379075,-75.680631,,,0
118,2917,RA970,3035.0,HERON 4A,,45.379047,-75.68047800000001,,,0
119,2918,RA990,3063.0,Mooney's Bay Station,,45.377036,-75.68498699999999,,,0
120,3006,RC900,3036.0,WALKLEY 1A,,45.368674,-75.66713399999999,,,0
121,3007,RC905,3036.0,WALKLEY 2A,,45.369034,-75.667282,,,0
122,3008,RC910,3036.0,WALKLEY 3A,,45.368781,-75.667606,,,0
123,3009,RC915,3036.0,WALKLEY 4A,,45.368915,-75.666811,,,0
124,3010,RC920,3036.0,WALKLEY 4B,,45.368606,-75.666445,,,0
125,3011,RC925,3036.0,WALKLEY 4C,,45.368867,-75.66639,,,0
126,3092,RE430,3066.0,AIRPORT/ AIR CANADA CARGO,,45.323687,-75.663035,,,0
127,3107,RE900,3039.0,AIRPORT STOP,,45.322241,-75.665876,,,0
128,3108,RE920,3041.0,LEITRIM 1A,,45.314277000000004,-75.63091899999999,,,0
